FID	IID	pheno
0	1	1635.03
0	3	1561.38
0	4	1576.11
0	5	1325.7
0	7	1325.7
0	8	1207.86
0	11	1399.35
0	12	1458.27
0	17	1296.24
0	18	1399.35
0	19	1148.94
0	21	1369.89
0	22	1414.08
0	24	1384.62
0	25	1237.32
0	26	1310.97
0	28	1414.08
0	29	1369.89
0	30	1310.97
0	31	1281.51
0	32	1222.59
0	33	1325.7
0	34	1325.7
0	35	1428.81
0	36	1325.7
0	37	1281.51
0	38	1325.7
0	39	1193.13
0	40	1266.78
0	41	1296.24
0	42	1252.05
0	44	1384.62
0	45	1193.13
0	46	1222.59
0	47	1178.4
0	48	1296.24
0	49	1119.48
0	50	1163.67
0	51	1458.27
0	52	1001.64
0	53	1310.97
0	54	1369.89
0	56	1207.86
0	57	1296.24
0	58	1340.43
0	59	1414.08
0	60	1296.24
0	61	1237.32
0	62	1443.54
0	64	1045.83
0	65	1443.54
0	66	1178.4
0	67	1134.21
0	68	1266.78
0	69	1252.05
0	70	986.91
0	71	1134.21
0	73	1266.78
0	74	1001.64
0	75	1178.4
0	77	1193.13
0	78	1369.89
0	79	1237.32
0	80	1399.35
0	81	1178.4
0	82	972.18
0	84	1178.4
0	85	1325.7
0	86	1031.1
0	87	1252.05
0	88	1399.35
0	89	1134.21
0	91	1266.78
0	93	1870.71
0	94	1679.22
0	95	1841.25
0	97	1384.62
0	98	1414.08
0	99	1620.3
0	100	1104.75
0	101	1473.0
0	102	1296.24
0	104	1325.7
0	108	1237.32
0	110	1310.97
0	111	1443.54
0	112	1296.24
0	147	1473.0
0	148	1473.0
0	151	1458.27
0	152	1369.89
0	153	1531.92
0	154	1576.11
0	155	1620.3
0	156	1635.03
0	157	1590.84
0	159	1517.19
