IID	Leu
HP202	29.3
L62_880	26.3
Baiqidawandou	27
L66_721	26.1
L73_67	27
L64_4103	24.3
L67_1695	26.4
L67_949	25.9
L62_906	29.5
L70_6494	25.2
L62_956	23.4
Kaohsiung_1	27.1
Jindou_15	27.2
Newton	22.8
Huangdou_2	19.9
Jidou_7	21.3
Zhongdou_36	31.6
L73_54	27.9
Banyesheng	22
Xudou_10	23.7
Ludou_4	24.8
L77_1727	23
Zaoshu_6_hao	23.7
L72_1078	18.5
Zhonghuang_13	29.8
Zhonghuang_4	23.2
Zhonghuang_10	27.6
Dadunxiaoheidou	20.5
Jihuang13	20.5
Zhongzuo_00_484	21.3
Zhongzuo_97_1121	19.5
Jindou_13	18.1
Zhongzuo_983	19.9
8588	21.1
L68_582	17.8
Shengli_3	23.1
Zhongzuo_00_683	19.5
Zhonghuang_27	22.9
Jian_31	32.3
L69_4267	20
Jidou12	20.9
Qingkeyuandou	21.8
Amcor_89	22.7
Zhongzuo_96_954	21
Maoyandou	20.4
Kenwood	20.8
Zhongdou_27	21.4
Tuyandou	24.8
L84_307	20.5
L81_4590	23.9
Sprite_87	21.4
L78_3083	22.6
Zhongdou_28	23.8
Lvcaodou	24.7
L82_1858	28.5
GR8836	21.6
L74_01	23.1
L74_221	23.5
Ludou_11	19.8
Fayette	28.4
Gnome	23.1
Lv_75	30.2
Zhongpindaheidou	23
Zhengzhou_135	25.5
Elf	24.7
Hobbit87	27.6
Sijiaoqi	24.3
Erliheidou	21.5
IL2	22.8
Dunbar	21.5
Yanhuang_3	26.1
Peking	28.1
Kunitz	24.3
Luning_1	23.8
Chadou	25.1
Wandou_15	27.8
He_84_5	24.1
Yudou_25	26.4
Nanguanxiaopiqing	30
Lu_93748_1	27.7
Dabaipi	26.7
Sijiaoqihuangdou	23.9
Jidou_12_2.3	24.9
Pingdinghei	23.4
Zhonghuang_18	23.7
Xiaoyuanhuangdou	25.3
Bendidahuangdou	26.8
Lu_99_1	25.9
Yangtianxiaohuangdou	25.6
SS74185	30.1
95_5117	24.5
Zhonghuang_28	25
Jidou_12_3l	26
Qihuang_30	25.7
Zheng_92116	26.6
Maodou	25.8
Er_hej_jan	29.9
Jindou_31	26.5
Handou_5	28.1
Kexin_3	27.6
Zaofeng_1	27.2
Dahuangdou	26.3
Puhai_10	27.2
Zhongye_2	26.7
Zhonghuang_22	26.3
Kexin_4	28.6
Qihuang_1	25.2
Delsoy_4210	27.5
MN413	25.4
Fendou_31	27.7
7651_1	25.8
L86_1436	26.5
Tiejiaohuang	26.6
Lu_99_7	23.7
L81_4871	26.5
Clark	26
Chichenglvhuangdou	28
Mustang	27.2
Union	28.6
Kefeng_6	30.4
Xinyangyangyandou	27.8
Wenfeng_7	28.9
Zhongpin_95_5383	22.3
Zhonghuang_16	24
Qihuang_13	22
Gaozuoxuan_1	21
Daheidou	24.1
Cansidou	25.2
L77_1794	24.6
Zheng_97210_6	28.8
Youbian_30	24.6
Han_195	29.3
Zaoshuheidou	25.9
Ina	25.6
Wandou_21	25.4
L88_8226	26.7
Lvrouheipidou	26.7
Ooyachi_2	27.5
Xiataizimoshidou	26.3
Pixiansilicao	25.3
Williams_82	25.9
Jiguan52	25.1
Zhongdou_34	26.8
Zhonghuang_15	26.4
Xinbada_2	26.1
Jiwuxing_1	27.6
Shuyangchunheidoubing	27.2
L78_379	26
Zheng_02060_0_7_2	26.9
Yudou_18	24.9
L88_8431	24.6
Chaleston	25.3
Franklin	25.9
L85_2378	25.9
Pixie	30.1
L82_2020	25.8
Miyunlaoyelian	25.1
L77_1863	26.5
Longjiangdali_?_Su	28.1
Zhongpin_661	25.3
L87_0482	25.6
L77_5632	27.5
L83_4744	24.7
Gnome_85	28.1
Kim	28.3
Nile	30.1
L88_8739	31.2
Xiaoqingdou	30.8
Zhongpin_662	31.3
PI_547893	31.7
PI_547872	30.1
Xinliuqing	36.3
Siliyuan	29.3
Amsoy	26.4
Heidou	30.8
Boaihongpizaojiao	32.1
Spry	30.4
PI_547838	32.1
PI_547850	33.6
Zheng_9525	29.7
Pingdinghuangdou	30.6
PI_547888	25
Jindou_21	24.6
KD01	23.9
Baipihuangdou	23.4
PI54703	27.7
Diliuhuangdou_2	24.5
Kefeng_53	24.9
Delsoy_	24.8
Wandou_16	25
L85_2029	26.1
Huaiyangchundou	31.6
Zheng_99048	33.2
Zhongdou_33	29.5
Qingdou	29.9
Yudou_22	28.7
Xiaomidou	30.3
L84_2235	31.9
Xiaoheidou	30.1
Zheng_8516	32
Yuandou	28.6
Yudou_12	35
Ji9_3l_2	29.5
Bailudou	32.1
Miyangxiaozihuang	32.6
Huaheihu	34.2
Delsoy_4710	27.5
L85_2308	23.9
Qisiwa	27.7
Liushiribaidou	28.4
Pixianzhanzhuangliuyuexian	26.2
Datianedan	25.5
Dongshan_69	24.4
Fendou_62	28
L88_5492	23.2
Lv_96150	28.9
Shang_951099	28.3
Delsoy_4900	24
Meng_9793_1	28.9
Xiaohuangdou	26.7
Miyangniumaohuang	25.6
Avery	25.9
Jidou17	23.8
Lvxuan_23	28
Tianedan	25.9
Xiaheidou	27.3
Qing_6	25
Pixiandazihuacao	24.1
Lvpihuangdou	32
Zhongnongshi_1	28.9
PI_253666A	31.9
Verde	26.6
Miyangbaidou	31.1
Yuxuan_13	30.7
Huanggandou	29.7
Zhongdou_8	31.6
Zheng_97196	28.3
Huipizhiheidou	28.9
Heheidou	28.8
Zhonghuang_39	24.8
Xiaobaidou_2	25.7
Xizhoujiwohuang	24.5
Hualvdou	24.4
Pixianhongmaoyou	27.8
