IID	Leu
HP202	24.2
L62_880	29.3
Baiqidawandou	21.6
L66_721	29.3
L73_67	29.5
L64_4103	22.6
L67_1695	24.5
L67_949	30.9
L62_906	25.5
L70_6494	27.6
L62_956	27.2
Kaohsiung_1	26.9
Jindou_15	24.9
Newton	22.1
Huangdou_2	26.3
Jidou_7	26.7
Zhongdou_36	21.2
L73_54	27.6
Banyesheng	28.2
Xudou_10	34.2
Ludou_4	28.2
L77_1727	26.9
Zaoshu_6_hao	27.7
L72_1078	24.1
Zhonghuang_13	31.7
Zhonghuang_4	22.3
Zhonghuang_10	24.8
Dadunxiaoheidou	28.7
Jihuang13	27.7
Zhongzuo_00_484	23.5
Zhongzuo_97_1121	20.7
Jindou_13	27.9
Zhongzuo_983	26.8
Xiaohuangdou	29.4
8588	20.8
L68_582	24.8
Shengli_3	31.5
Zhongzuo_00_683	28.1
Zhonghuang_27	18.9
Jian_31	23.8
L69_4267	29.9
Jidou12	30.2
Qingkeyuandou	26.6
Amcor_89	24.4
Zhongzuo_96_954	25.4
Maoyandou	29.1
Kenwood	20.1
Zhongdou_27	22.8
Tuyandou	32.9
L84_307	21.4
L81_4590	26.5
Sprite_87	19.7
L78_3083	31.2
Zhongdou_28	28.5
Lvcaodou	27.3
L82_1858	23.2
GR8836	30
L74_01	27.4
L74_221	31.7
Ludou_11	32.2
Fayette	31.5
Gnome	22.6
Lv_75	28.2
Zhongpindaheidou	28.4
Zhengzhou_135	21.4
Elf	24.1
Hobbit87	22.6
Sijiaoqi	24.6
Erliheidou	24.1
IL2	27.5
Dunbar	27.6
Yanhuang_3	27.1
Peking	28.4
Kunitz	28.9
Luning_1	25.7
Chadou	26.8
Wandou_15	23.8
He_84_5	27.9
Yudou_25	26.5
Nanguanxiaopiqing	29
Lu_93748_1	20.3
Dabaipi	26.7
Sijiaoqihuangdou	23.4
Jidou_12_2.3	27.3
Pingdinghei	27.9
Zhonghuang_18	24
Xiaoyuanhuangdou	24.5
Bendidahuangdou	22.1
Lu_99_1	26.9
Yangtianxiaohuangdou	30.7
SS74185	31
95_5117	25.1
Zhonghuang_28	27.8
Jidou_12_3l	23.4
Qihuang_30	26.3
Zheng_92116	21.6
Maodou	25.9
Er_hej_jan	21.9
Jindou_31	33.4
Handou_5	30
Kexin_3	24.8
Zaofeng_1	30.8
Dahuangdou	25.5
Puhai_10	28.4
Zhongye_2	32.3
Zhonghuang_22	29.7
Kexin_4	23.3
Qihuang_1	27.2
Tianedan	29.5
Delsoy_4210	26.8
MN413	26
Fendou_31	24.1
7651_1	24.8
L86_1436	24.6
Tiejiaohuang	24.3
Lu_99_7	25.5
L81_4871	29.7
Clark	25.1
Chichenglvhuangdou	28.5
Mustang	23.5
Union	20.3
Kefeng_6	31
Xinyangyangyandou	26.6
Wenfeng_7	28
Zhongpin_95_5383	26.2
Zhonghuang_16	18.3
Qihuang_13	23.4
Gaozuoxuan_1	25.1
Daheidou	18.4
Cansidou	29.7
L77_1794	23.5
Zheng_97210_6	29
Youbian_30	33.2
Han_195	30.3
Zaoshuheidou	27.6
Ina	25
Wandou_21	23.5
L88_8226	28
Lvrouheipidou	30.5
Ooyachi_2	31.2
Xiataizimoshidou	26.3
Pixiansilicao	29.6
Williams_82	23.7
Jiguan52	30.6
Zhongdou_34	29.2
Zhonghuang_15	20.6
Xinbada_2	25.3
Jiwuxing_1	29.9
Shuyangchunheidoubing	29.8
L78_379	23.9
Zheng_02060_0_7_2	26.3
Yudou_18	22.5
L88_8431	26.1
Chaleston	25.1
Franklin	25.7
L85_2378	27
Pixie	23.7
L82_2020	27.9
Miyunlaoyelian	26.5
L77_1863	30.3
Longjiangdali_?_Su	17.1
Zhongpin_661	33.8
L87_0482	30.4
L77_5632	23.4
L83_4744	25.9
Gnome_85	26.5
Kim	30.1
Nile	27.5
L88_8739	33.8
Xiaoqingdou	26.9
Zhongpin_662	28.7
PI_547893	32.4
PI_547872	23.7
Xinliuqing	20.9
Siliyuan	24.3
Amsoy	24.4
Heidou	28.4
Boaihongpizaojiao	25.2
Spry	30.9
PI_547838	24.4
PI_547850	26
Zheng_9525	29.6
Pingdinghuangdou	26.5
PI_547888	23.6
Jindou_21	24.5
KD01	27.6
Baipihuangdou	31
PI54703	30.9
Diliuhuangdou_2	30.9
Kefeng_53	26.7
Delsoy_	28.1
Wandou_16	24
L85_2029	20.9
Huaiyangchundou	30.8
Zheng_99048	28.9
