FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
HP202	HP202	17.1	28.7	44.5	71.9	16.8	10.6	18	29.3	25.3	20.1	22.5	19.2	15.2	13.2	19.3
L62-880	L62-880	16.3	25.7	45	76.9	14.8	9.2	16.5	26.3	22.2	17.8	19.7	18.3	15.4	12	17.4
Baiqidawandou	Baiqidawandou	17.9	23.9	44.3	75.6	15.3	9.2	17.1	27	22.4	17.6	18.2	19.1	16.5	12.7	19.1
L66-721	L66-721	16.4	25.2	44.6	75.7	15.1	9.2	16.1	26.1	22.3	17.8	20.4	18.2	15.6	11.7	17.2
L73-67	L73-67	16.8	26.2	46.6	79.8	15.3	9.5	16.6	27	22.8	18.5	20.3	19.6	16.4	12.4	17.5
L64-4103	L64-4103	15	25.4	41	59.9	14.5	9.3	14.8	24.3	22.6	17.4	22.1	16.9	14.9	11.1	15.9
L67-1695	L67-1695	16	25.9	42.6	63.4	15	9.4	15.8	26.4	22.8	17.8	23.6	17.1	14.8	11.7	17
L67-949	L67-949	15.4	25.7	42.3	61.8	14.6	9.3	16.2	25.9	22.6	17.8	21.2	17.1	14.8	12.1	16.5
L62-906	L62-906	17.7	29.5	46.4	71.4	16.3	10.3	18.4	29.5	24.2	19.6	25.1	19.1	16	13.3	19.8
L70-6494	L70-6494	16.3	25.6	44.2	63.9	15.1	9.6	15.6	25.2	23	17.9	23.9	18.1	15.5	11.7	16.7
L62-956	L62-956	15.7	24.9	42.4	62.8	14.7	9.3	15	23.4	22.5	17.4	21	17.3	14.9	11.4	16.2
Kaohsiung 1	Kaohsiung 1	15.5	23.8	40.5	58.6	15.4	9.5	16.7	27.1	23.3	17.2	19.2	16.5	15.5	11.7	14.1
Jindou 15	Jindou 15	17.3	33.2	50.4	74.8	16.5	10.8	16.8	27.2	24.8	19.7	25.1	19.9	16.5	12.4	17.8
Newton	Newton	15.1	23.6	39.2	57.7	14	8.9	14.7	22.8	21.4	16.7	22.2	15.9	13.5	10.9	15.9
Huangdou 2	Huangdou 2	18.1	23.4	46.8	74.6	21.1	9.6	5.1	19.9	19.9	14.7	20.4	18	10	10.4	8.8
Jidou 7	Jidou 7	19.2	25.4	50.9	82.9	22.5	10.4	6	21.3	25.5	15.8	25.7	20.8	11.1	11.5	11.4
Zhongdou 36	Zhongdou 36	18	35	50.1	76.9	17.8	11.8	19.1	31.6	26.7	21.6	25.1	21.2	16.2	14	20.1
L73-54	L73-54	22.7	27.9	57.9	90.1	23.4	10.9	8.6	27.9	22.9	18.3	23.5	24.6	13.8	14.1	13.8
Banyesheng	Banyesheng	20.1	26.9	55.4	87	23.2	10.2	5.9	22	22	15.5	24	24.3	13.1	10.5	10.2
Xudou 10	Xudou 10	21.2	30.2	57.3	86.8	22.8	10.5	6.2	23.7	22.6	18.6	26.6	24.7	13.6	12.2	10.7
Ludou 4	Ludou 4	21.6	27.8	58.8	89.7	22.9	11	7.1	24.8	24.1	18.2	25.8	25.3	14.5	12.6	11
L77-1727	L77-1727	21	27.5	56.4	87.5	21.8	10.4	6.8	23	23.9	17.8	25.8	24.9	14.2	12.6	10.2
