IID PH
S-1 91.0942857142857
S-2 93.7614285714286
S-3 93
S-4 92.1914285714286
S-8 80.6671428571429
S-9 90.0485714285714
S-10 85.2871428571429
S-11 88.7385714285714
S-25 78.4271428571429
S-27 90.0471428571429
S-31 86.6657142857143
S-33 87
S-34 79.0485714285714
S-36 80.0971428571429
S-37 80.7628571428571
S-38 86.2857142857143
S-39 72.5728571428571
S-40 69.6657142857143
S-41 52.5714285714286
S-44 69.5242857142857
S-45 54.2857142857143
S-46 73.6671428571428
S-47 65.5242857142857
S-48 83.6657142857143
S-49 88.4757142857143
S-50 83.1914285714286
S-51 82.5728571428571
S-52 75.2871428571429
S-54 84.8085714285714
S-55 67
S-56 70.7628571428571
S-58 66.9757142857143
S-59 75.4771428571429
S-60 60.7128571428571
S-61 80.7614285714286
S-62 91.81
S-63 93.4757142857143
S-64 63.4042857142857
S-65 73.7614285714286
S-67 68.5242857142857
S-68 88.8571428571429
S-70 79.6671428571428
S-71 63.6185714285714
S-73 86.81
S-74 74.3814285714286
S-75 84.7628571428571
S-78 79.6185714285714
S-79 86.0957142857143
S-80 73.7157142857143
S-81 78
S-82 70.9514285714286
S-83 70.4757142857143
S-85 78.5714285714286
S-86 73.3342857142857
S-87 72.0485714285714
S-88 83.43
S-89 61.8557142857143
S-90 75.8571428571429
S-91 72.7128571428571
S-92 85.2385714285714
S-93 91.1428571428571
S-95 74.5714285714286
S-96 74.0957142857143
S-97 72.1428571428571
S-98 71.1428571428571
S-100 62.0957142857143
S-102 83.9528571428571
S-104 90.0485714285714
S-106 88.6671428571428
S-109 89.4285714285714
S-112 67.7628571428571
S-113 83.0014285714286
S-114 72.5714285714286
S-115 68.19
S-117 49.9028571428571
S-118 82.6671428571428
S-121 74.57
S-123 73.4285714285714
S-126 78.6671428571428
S-127 76
S-129 68.1442857142857
S-134 90.2371428571429
S-135 79.7128571428571
S-136 60.4285714285714
S-137 73.6914285714286
S-138 71.2871428571429
S-278 77.4271428571429
S-297 71.8085714285714
S-305 77.5228571428571
S-311 76.2857142857143
S-312 78.62
S-314 91.3814285714286
S-315 66.3342857142857
S-316 72.7614285714286
S-317 51.8571428571429
S-318 92.7142857142857
S-319 90.4757142857143
S-320 87.1914285714286
S-321 80.1414285714286
S-322 86.7157142857143
S-323 68.3828571428571
S-324 86.38
S-325 75.6671428571428
S-327 62.7614285714286
S-328 72.0457142857143
S-329 90.5714285714286
S-331 86.2842857142857
S-332 81.62
S-333 74.0957142857143
S-334 63.3314285714286
S-335 91.4757142857143
S-336 87.38
S-337 72.19
S-338 56.5714285714286
S-339 81.1442857142857
S-340 91.19
S-341 94.3328571428572
S-342 80.7142857142857
S-343 46.6671428571429
S-408 92.81
S-416 70.19
S-417 66.0485714285714
S-423 85.6185714285714
S-428 81.38
S-431 81.9757142857143
S-432 79.0942857142857
S-433 80.9542857142857
S-434 79.7157142857143
S-435 88.8085714285714
S-443 77.2857142857143
S-445 76.9042857142857
S-447 80.9057142857143
S-448 74.1428571428571
S-450 81.7614285714286
S-451 76.5714285714286
S-452 77.9057142857143
S-454 64.7614285714286
S-456 52.7614285714286
S-459 60.9528571428571
S-460 71.8571428571429
S-462 67.9528571428571
S-463 80.1914285714286
S-464 72.0485714285714
S-466 92.7157142857143
S-467 85.6671428571428
S-472 74.3342857142857
S-473 57.1428571428571
S-474 73.5714285714286
S-475 59.3814285714286
S-476 45.6185714285714
S-478 61.69
S-479 83.9057142857143
S-481 83.0942857142857
S-482 63.9528571428571
S-487 83.2857142857143
S-488 82.6185714285714
S-490 42.5228571428571
S-491 77.8571428571429
S-493 59.4285714285714
S-494 63.7142857142857
S-496 99.19
S-497 95.6657142857143
S-500 86.6428571428571
S-501 101.381428571429
S-503 80.3328571428572
S-504 64.8571428571429
S-508 78.2385714285714
S-509 87.9528571428571
S-510 82.3814285714286
S-515 82.5242857142857
S-520 76.9514285714286
S-522 76
S-525 71.6185714285714
S-528 79.7142857142857
S-529 84.8557142857143
S-534 64.3814285714286
S-550 78.2371428571429
S-554 69.0485714285714
S-570 81.3814285714286
S-575 83.2371428571429
S-576 86.5242857142857
S-577 89.5
S-581 73.5242857142857
S-1034 82.5714285714286
