"","Distance","Rsquare","Number"
"1",10,0.715989338640375,1195
"2",20,0.673450165693848,684
"3",30,0.635561078035454,436
"4",40,0.661341411561596,358
"5",50,0.667446389866078,249
"6",60,0.63477831893606,195
"7",70,0.699420726053894,157
"8",80,0.640253336993664,109
"9",90,0.619682463608819,85
"10",100,0.633871921774174,78
"11",200,0.669533066546803,421
"12",300,0.605812822547603,114
"13",400,0.558799719568985,54
"14",500,0.571969546993241,42
"15",600,0.586165761627628,37
"16",700,0.631930893025153,23
"17",800,0.633523066649805,27
"18",900,0.747497653740675,18
"19",1000,0.403412524946098,25
"20",1100,0.632031491105123,18
"21",1200,0.474723293526302,17
"22",1300,0.467486448550553,27
"23",1400,0.351302976833762,18
"24",1500,0.57422208761353,18
"25",1600,0.579086348898106,15
"26",1700,0.743582020556857,18
"27",1800,0.53303950564523,17
"28",1900,0.720655961434699,20
"29",2000,0.582046322237896,11
"30",2100,0.797305278847484,10
"31",2200,0.614693804115916,11
"32",2300,0.253236293728749,13
"33",2400,0.660430628942047,14
"34",2697.25,0.579709158825871,39
"35",2897.25,0.519459335206389,33
"36",3097.25,0.525388059713352,26
"37",3297.25,0.514264844498897,25
"38",3829.66666666667,0.471157178077437,70
"39",4329.66666666667,0.447437258413977,59
"40",4829.66666666667,0.519130367012805,73
"41",5994.5,0.505013922111551,125
"42",6994.5,0.463022134177519,99
"43",7994.5,0.460781680219411,89
"44",8994.5,0.497143032436798,99
