taxa,PC1,PC2,PC3
HP202,-23.9075594722708,-38.7586347681712,22.8037282356785
L70_6494,-12.5868856869642,-84.8145956528574,62.9049645310521
Zheng_92116,50.5748203315342,-5.42372342363216,-36.1430398598857
Maodou,26.2255821009278,-17.3828860206505,-3.3685568576967
Er_hej_jan,66.3802210973796,63.2704711820737,49.1170873594857
Jindou_31,22.7783314659497,1.39662931949556,3.13014849702569
Handou_5,-2.59916585891105,-23.1274128575317,-22.3215511514507
Kexin_3,9.98409131085988,-21.6994233670149,-45.4776302249806
Zaofeng_1,41.39235517012,3.30310430123295,-6.06117344035718
Dahuangdou,43.7902807658782,16.1834926715095,-6.5105163669918
Puhai_10,44.8917292261703,-6.8642392696415,-43.1453822912613
Zhongye_2,22.2364146681328,-12.4718993205031,-32.9019905594067
L62_956,-12.5161658855544,-81.4916661757167,60.0263306676948
Zhonghuang_22,13.3842744995245,-26.003864714781,-49.2279076166716
Kexin_4,26.531362923227,-3.29832127923091,-42.9978744098859
Qihuang_1,23.1938067532759,-18.2227326552212,-20.3899206716358
Tianedan,39.8408941467977,13.3784203925289,12.9711079058541
Delsoy_4210,-34.09933253363,-5.48516655549448,13.0089081065209
MN413,31.659061746313,-19.3120793085405,-46.3793535488073
Fendou_31,2.96788892758944,0.54592528171379,10.922902546151
7651_1,-67.3621803417366,12.543859615811,9.36753777063178
L86_1436,-29.3109272433122,-13.0025803317362,10.8798465530285
Tiejiaohuang,44.0498392872449,6.67570540198776,-18.7032060349048
Kaohsiung_1,6.52720542415687,-42.6637214296234,-19.5881857771346
Lu_99_7,18.2886314456073,12.7720994326333,2.87109333543198
L81_4871,-68.3985220321627,12.886192006195,10.0761283041742
Clark,-69.3333671339876,14.2482963107531,9.11650368546282
Chichenglvhuangdou,23.9670750154395,0.500265539051563,18.248377350919
Mustang,-53.6498132491569,22.428708393626,-3.65170518466392
Union,-79.6962378709906,23.7300559200967,-5.94501237343654
Kefeng_6,12.9066966880246,-25.1730553308575,-48.9468906364788
Xinyangyangyandou,41.9712780386958,-10.6215489196553,-34.8951940007877
Zhonghuang_13,22.9525527891433,-26.9881705700238,-51.6831414539801
Wenfeng_7,-13.069687958563,18.479046413081,-19.478237716769
Jindou_15,23.6126918056403,-11.9003092404942,1.3605872338047
Zhongpin_95_5383,-31.9014332901125,-3.07872241219254,-27.7873672602497
Zhonghuang_16,-26.3561534742202,-13.3824531775698,5.15231951414824
Qihuang_13,21.5007299618101,-27.3619008782434,-30.1551613918972
Gaozuoxuan_1,-17.0640909801045,0.839857456622457,24.4643385497609
Daheidou,50.4305954224016,27.3021457182658,27.2783072143986
Cansidou,38.4061868266411,9.78356193449217,10.985676103976
L77_1794,-85.0577912761402,29.7497562346712,-6.6791397237192
Zheng_97210_6,42.0392885927401,-11.6871784816428,-34.1710146531905
Youbian_30,32.1286568432304,-28.9826748357199,-62.0546512207872
Han_195,-13.868639103736,-18.6380149701841,-20.7370280181398
Newton,-23.7423783887752,-7.76314837658339,25.0674384213536
Zaoshuheidou,15.4150241029592,-7.71068053661603,-10.1253009110764
Ina,-21.9945065882427,-15.8034090329372,18.8834416295701
Wandou_21,-42.9543222138453,23.4745793366158,-27.2723725007774
L88_8226,-84.3778617488957,29.401234233108,-9.88805071522699
Lvrouheipidou,27.8320343837098,-33.9284406821266,-42.3607746022255
Ooyachi_2,-47.6987335578762,8.59339714754534,13.2223890176469
Xiataizimoshidou,58.7300775112757,68.7216000021887,50.0658536614668
Pixiansilicao,30.9400297386502,6.72098623820197,-31.729966300867
Williams_82,-85.5406403078396,29.7161474880984,-7.95736463004467
Jiguan52,-17.0755204358274,-1.89092115751734,12.920383063183
Huangdou_2,-2.45826921033414,6.8949677998107,13.0654809447331
Zhongdou_34,23.4995392809537,-27.9261087349378,-45.3282988653978
Zhonghuang_15,-16.8573046989174,-1.77798624699504,-30.9300128490822
Xinbada_2,-83.6041368396342,29.2146569721263,-8.60739382766222
Jiwuxing_1,-21.3882333574345,-9.81528117948051,11.257894008949
Shuyangchunheidoubing,70.2321838612681,59.6660368763878,37.233548978862
L78_379,-82.8285662236184,28.9774655720541,-10.3252731902642
